wordId,Słowo ENG,Tłumaczenie PL (arkusz),Tłumaczenie PL (po poprawce)
"t1-p831-006","Wear off","Mijać; przechodzić; ustępować (np. O bólu, uczuciu)","Mijać; przechodzić; ustępować (np. o bólu, uczuciu)"
"t1-p839-001","Come forward","Zgłaszać się (np. Na ochotnika)","Zgłaszać się (np. na ochotnika)"
"t1-p840-013","Bosnia and herzegovina","Bośnia I hercegowina","Bośnia i Hercegowina"
"t1-p842-004","Emit","Emitować (coś w powietrze np. Gaz, zanieczyszczenia itp.)","Emitować (coś w powietrze np. gaz, zanieczyszczenia itp.)"
"t1-p844-002","Break out","Zacząć się gwałtownie; wybuchnąć (np. Wojna)","Zacząć się gwałtownie; wybuchnąć (np. wojna)"
"t1-p844-005","Come down","Walić się; runąć (np. O budynku)","Walić się; runąć (np. o budynku)"
"t1-p844-006","Tear sth down","Rozebrać (np. Budynek); burzyć","Rozebrać (np. budynek); burzyć"
"t1-p844-010","Burst into","Wybuchnąć (np. Płaczem, śmiechem)","Wybuchnąć (np. płaczem, śmiechem)"
"t1-p845-010","Put forward","Proponować; wysunąć (np. Wniosek, teorię)","Proponować; wysunąć (np. wniosek, teorię)"
"t1-p848-002","Go off","Odstawić; rzucić (np. Alkohol, leki)","Odstawić; rzucić (np. alkohol, leki)"
"t1-p848-004","Hold sth back","Powstrzymywać coś (np. Emocje)","Powstrzymywać coś (np. emocje)"
"t1-p848-006","Tie in with","Pokrywać się z czymś (np. Twierdzeniem)","Pokrywać się z czymś (np. twierdzeniem)"
"t1-p848-008","Blend in","Wtapiać się (np. W tłum)","Wtapiać się (np. w tłum)"
"t1-p848-009","Bounce back","Wrócić do formy; odbić się od dna; odbić się (np ceny, gdy znowu idą w górę)","Wrócić do formy; odbić się od dna; odbić się (np. ceny, gdy znowu idą w górę)"
"t1-p848-010","Break out","Wyrwać się, wyzwolić się (np. Z rutyny, uciec z więzienia)","Wyrwać się, wyzwolić się (np. z rutyny, uciec z więzienia)"
"t1-p855-001","Take sb in","Zatrzymać kogoś (np. Policja)","Zatrzymać kogoś (np. policja)"
"t1-p855-008","Be taken aback","Być zaskoczonym I zdezorientowanym","Być zaskoczonym i zdezorientowanym"
"t1-p855-010","Break sth off","Zerwać coś (np. Relacje); zakończyć coś (np. Związek)","Zerwać coś (np. relacje); zakończyć coś (np. związek)"
"t1-p850-006","Blow up","Rozdmuchać (np. Problem)","Rozdmuchać (np. problem)"
"t1-p850-009","Clear sth up","Wyjaśnić coś (np. Sytuacje)","Wyjaśnić coś (np. sytuację)"
"t1-p853-002","Come over sb","Ogarniać kogoś (np. Uczucie)","Ogarniać kogoś (np. uczucie)"
"t1-p854-008","Pregret","Poczucie żałowania czegoś, co I tak się zrobi","Poczucie żałowania czegoś, co i tak się zrobi"
"t1-p858-005","Turn sb over","Wydać kogoś (np. Złodzieja policji)","Wydać kogoś (np. złodzieja policji)"
