Lp,Poziom,Tom,Rozdział,Jednostka,Nazwa paczki,Słowo ENG,Tłumaczenie PL,Zdanie ENG,Zdanie PL
678,1,Tom I,Rozdział VII,Rzeczowniki,Dolegliwości,Stress,Stres,Work is causing me stress.,Praca powoduje u mnie stres.
679,1,Tom I,Rozdział VII,Rzeczowniki,Dolegliwości,Pill,Tabletka; pigułka,Swallow this pill.,Połknij tę tabletkę.
680,1,Tom I,Rozdział VII,Rzeczowniki,Mentalne,Character,Charakter,He has a strong character.,On ma silny charakter.
681,1,Tom I,Rozdział VII,Rzeczowniki,Mentalne,Decision,Decyzja,That was a hard decision.,To była trudna decyzja.
682,1,Tom I,Rozdział VII,Rzeczowniki,Mentalne,Intuition,Intuicja,Trust your intuition.,Zaufaj swojej intuicji.
683,1,Tom I,Rozdział VII,Rzeczowniki,Mentalne,Thought,Myśl,It was just a thought.,To była tylko myśl.
684,1,Tom I,Rozdział VII,Rzeczowniki,Mentalne,Opinion,Opinia,That's just my opinion.,To tylko moja opinia.
685,1,Tom I,Rozdział VII,Rzeczowniki,Mentalne,Idea,Pomysł; idea,I have a great idea.,Mam świetny pomysł.
686,1,Tom I,Rozdział VII,Rzeczowniki,Mentalne,Reason,Powód,Give me one good reason.,Podaj mi jeden dobry powód.
687,1,Tom I,Rozdział VII,Rzeczowniki,Mentalne,Right,Racja,You're right.,Masz rację.
688,1,Tom I,Rozdział VII,Rzeczowniki,Mentalne,Talent,Talent,She has real talent.,Ona ma prawdziwy talent.
689,1,Tom I,Rozdział VII,Rzeczowniki,Mentalne,Joke,Żart,It was only a joke.,To był tylko żart.
690,1,Tom I,Rozdział VII,Czasowniki,Czasowniki 5,Choose,Dokonywać wyboru,You have to choose one.,Musisz wybrać jedno.
691,1,Tom I,Rozdział VII,Czasowniki,Czasowniki 5,Continue,Kontynuować; trwać dalej,Let's continue tomorrow.,Kontynuujmy jutro.
692,1,Tom I,Rozdział VII,Czasowniki,Czasowniki 5,Explain,Wytłumaczyć,Can you explain that again?,Możesz to jeszcze raz wytłumaczyć?
693,1,Tom I,Rozdział VII,Czasowniki,Czasowniki 5,Forget,Zapominać,Don't forget your keys.,Nie zapomnij kluczy.
694,1,Tom I,Rozdział VII,Czasowniki,Czasowniki 5,Learn,Uczyć się,Learn English.,Ucz się angielskiego.
695,1,Tom I,Rozdział VII,Czasowniki,Czasowniki 5,Read,Czytać,Read a book.,Czytaj książkę.
696,1,Tom I,Rozdział VII,Czasowniki,Czasowniki 5,Remember,Pamiętać,I remember your face.,Pamiętam twoją twarz.
697,1,Tom I,Rozdział VII,Czasowniki,Czasowniki 5,Ring,Dzwonić ( telefon dzwoni),My phone didn't ring.,Mój telefon nie zadzwonił.
698,1,Tom I,Rozdział VII,Czasowniki,Czasowniki 5,Risk,Ryzykować,I don't want to risk it.,Nie chcę tego ryzykować.
699,1,Tom I,Rozdział VII,Czasowniki,Czasowniki 5,Study,Studiować; uczyć się,She studies medicine.,Ona studiuje medycynę.
700,1,Tom I,Rozdział VII,Rzeczowniki,Warzywa I owoce,Avocado,Awokado,This avocado is ripe.,To awokado jest dojrzałe.
701,1,Tom I,Rozdział VII,Rzeczowniki,Warzywa I owoce,Peach,Brzoskwinia,The peach is so juicy.,Ta brzoskwinia jest bardzo soczysta.
702,1,Tom I,Rozdział VII,Rzeczowniki,Warzywa I owoce,Onion,Cebula,Chop the onion finely.,Posiekaj cebulę drobno.
703,1,Tom I,Rozdział VII,Rzeczowniki,Warzywa I owoce,Cauliflower,Kalafior,I baked cauliflower for dinner.,Upiekłem kalafior na obiad.
704,1,Tom I,Rozdział VII,Rzeczowniki,Warzywa I owoce,Corn,Kukurydza,We grilled corn on the cob.,Grillowaliśmy kukurydzę.
705,1,Tom I,Rozdział VII,Rzeczowniki,Warzywa I owoce,Carrot,Marchewka,Rabbits love carrots.,Króliki uwielbiają marchewki.
706,1,Tom I,Rozdział VII,Rzeczowniki,Warzywa I owoce,Lettuce,Sałata,Add some lettuce to the sandwich.,Dodaj trochę sałaty do kanapki.
707,1,Tom I,Rozdział VII,Rzeczowniki,Warzywa I owoce,Strawberry,Truskawka,These strawberries are sweet.,Te truskawki są słodkie.
708,1,Tom I,Rozdział VII,Rzeczowniki,Warzywa I owoce,Grape,Winogrono,Try this purple grape.,Spróbuj tego fioletowego winogrona.
709,1,Tom I,Rozdział VII,Rzeczowniki,Warzywa I owoce,Cherry,Wiśnia,She picked a cherry.,Zerwała wiśnię.
710,1,Tom I,Rozdział VIII,Przymiotniki,Sukces,Sure,Pewny,Are you sure about this?,Jesteś tego pewny?
711,1,Tom I,Rozdział VIII,Przymiotniki,Sukces,Popular,Popularny,This song is very popular.,Ta piosenka jest bardzo popularna.
712,1,Tom I,Rozdział VIII,Przymiotniki,Sukces,Rich,Bogaty,He became rich overnight.,Wzbogacił się z dnia na dzień.
713,1,Tom I,Rozdział VIII,Przymiotniki,Sukces,Perfect,Perfekcyjny; doskonały,Everything went perfect.,Wszystko poszło perfekcyjnie.
714,1,Tom I,Rozdział VIII,Przymiotniki,Sukces,Fantastic,Fantastyczny,You did a fantastic job.,Wykonałeś fantastyczną robotę.
715,1,Tom I,Rozdział VIII,Przymiotniki,Sukces,Better,Lepszy,I feel much better now.,Czuję się teraz dużo lepiej.
716,1,Tom I,Rozdział VIII,Przymiotniki,Sukces,Amazing,Niesamowity,This view is amazing.,Ten widok jest niesamowity.
717,1,Tom I,Rozdział VIII,Przymiotniki,Sukces,Super,Super,That's a super idea!,To super pomysł!
718,1,Tom I,Rozdział VIII,Przymiotniki,Sukces,Great,Wspaniały; wielki,You look great today.,Świetnie dziś wyglądasz.
719,1,Tom I,Rozdział VIII,Przymiotniki,Sukces,Only,Jedyny; wyłączny,You're the only one who understands.,"Jesteś jedyną osobą, która rozumie."
720,1,Tom I,Rozdział VIII,Rzeczowniki,Człowiek,Blond,Blondyn,He's tall and blond.,Jest wysokim blondynem.
721,1,Tom I,Rozdział VIII,Rzeczowniki,Człowiek,Blonde,Blondynka,She's a natural blonde.,Ona jest naturalną blondynką.
722,1,Tom I,Rozdział VIII,Rzeczowniki,Człowiek,Brunet,Brunet,My brother is a brunet.,Mój brat jest brunetem.
723,1,Tom I,Rozdział VIII,Rzeczowniki,Człowiek,Brunette,Brunetka,I prefer brunettes.,Wolę brunetki.
724,1,Tom I,Rozdział VIII,Rzeczowniki,Człowiek,Egoist,Egoista,Don't be such an egoist.,Nie bądź takim egoistą.
725,1,Tom I,Rozdział VIII,Rzeczowniki,Człowiek,Women,Kobiety,Women run this company.,Kobiety prowadzą tę firmę.
726,1,Tom I,Rozdział VIII,Rzeczowniki,Człowiek,Men,Mężczyźni,Men and women are equal.,Mężczyźni i kobiety są równi.
727,1,Tom I,Rozdział VIII,Rzeczowniki,Człowiek,Optimist,Optymista,She's a true optimist.,Ona jest prawdziwym optymistą.
728,1,Tom I,Rozdział VIII,Rzeczowniki,Człowiek,Pessimist,Pesymista,Stop being such a pessimist.,Przestań być takim pesymistą.
729,1,Tom I,Rozdział VIII,Rzeczowniki,Człowiek,Senior,Senior (osoba starsza),My grandfather is a senior now.,Mój dziadek jest teraz seniorem.
730,1,Tom I,Rozdział VIII,Rzeczowniki,Rodzina,Grandma,Babcia,My grandma cooks.,Moja babcia gotuje.
731,1,Tom I,Rozdział VIII,Rzeczowniki,Rodzina,Grandmother,Babka (matka matki),My grandmother bakes bread.,Moja babka piecze chleb.
732,1,Tom I,Rozdział VIII,Rzeczowniki,Rodzina,Aunt,Ciotka,My aunt is here.,Moja ciotka jest tutaj.
733,1,Tom I,Rozdział VIII,Rzeczowniki,Rodzina,Grandfather,Dziadek,My grandfather tells great stories.,Mój dziadek opowiada świetne historie.
734,1,Tom I,Rozdział VIII,Rzeczowniki,Rodzina,Grandpa,Dziadzio,My grandpa is 80.,Mój dziadzio ma 80 lat.
735,1,Tom I,Rozdział VIII,Rzeczowniki,Rodzina,Cousin,Kuzyn; kuzynka,My cousin is my age.,Mój kuzyn ma mój wiek.
736,1,Tom I,Rozdział VIII,Rzeczowniki,Rodzina,Baby,Niemowlę,The baby sleeps.,Niemowlę śpi.
737,1,Tom I,Rozdział VIII,Rzeczowniki,Rodzina,Parent,Rodzic,Being a parent is hard.,Bycie rodzicem jest trudne.
738,1,Tom I,Rozdział VIII,Rzeczowniki,Rodzina,Sister,Siostra,My sister is here.,Moja siostra jest tutaj.
739,1,Tom I,Rozdział VIII,Rzeczowniki,Rodzina,Uncle,Wujek,My uncle is here.,Mój wujek jest tutaj.
740,1,Tom I,Rozdział VIII,Zabronione,Wulgaryzmy 2,Cock,Chuj,He's such a cock sometimes.,Czasem jest takim chujem.
741,1,Tom I,Rozdział VIII,Zabronione,Wulgaryzmy 2,Pussy,Cipka,Don't be such a pussy.,Nie bądź taką cipą.
742,1,Tom I,Rozdział VIII,Zabronione,Wulgaryzmy 2,Asshole,Dupek,He's a real asshole.,On jest prawdziwym dupkiem.
743,1,Tom I,Rozdział VIII,Zabronione,Wulgaryzmy 2,Bastard,Drań,That lucky bastard won again.,Ten szczęściarz znowu wygrał.
744,1,Tom I,Rozdział VIII,Zabronione,Wulgaryzmy 2,Fag,Pedał,He called him a fag.,Nazwał go pedałem.
745,1,Tom I,Rozdział VIII,Zabronione,Wulgaryzmy 2,Bitch,Dziwka,Stop being such a bitch.,Przestań być taką suką.
746,1,Tom I,Rozdział VIII,Zabronione,Wulgaryzmy 2,Fuck off!,Odpierdol się!,Just fuck off already!,Po prostu odpierdol się!
747,1,Tom I,Rozdział VIII,Zabronione,Wulgaryzmy 2,Piss off!,Wypierdalaj!,"Piss off, I'm busy!","Wypierdalaj, jestem zajęty!"
748,1,Tom I,Rozdział VIII,Zabronione,Wulgaryzmy 2,Sod off!,Spierdalaj!,"Sod off, leave me alone!","Spierdalaj, zostaw mnie!"
749,1,Tom I,Rozdział VIII,Zabronione,Wulgaryzmy 2,It sucks,"Chujowo, do dupy",This weather really sucks.,Ta pogoda naprawdę jest do dupy.
750,1,Tom I,Rozdział VIII,Czasowniki,Czasowniki 6,Draw,Rysować,Draw a picture.,Narysuj obraz.
751,1,Tom I,Rozdział VIII,Czasowniki,Czasowniki 6,Paint,Malować,Paint the wall.,Pomaluj ścianę.
752,1,Tom I,Rozdział VIII,Czasowniki,Czasowniki 6,Play,Bawić się; grać,Play outside.,Baw się na zewnątrz.
753,1,Tom I,Rozdział VIII,Czasowniki,Czasowniki 6,Relax,Relaksować się; rozluźnić się,"Just relax, it's fine.","Po prostu się zrelaksuj, wszystko gra."
754,1,Tom I,Rozdział VIII,Czasowniki,Czasowniki 6,Rest,Odpoczywać,You need to rest.,Musisz odpocząć.
755,1,Tom I,Rozdział VIII,Czasowniki,Czasowniki 6,Ride,Jeździć (na czymś),Ride a bike.,Jeżdź na rowerze.
756,1,Tom I,Rozdział VIII,Czasowniki,Czasowniki 6,Sing,Śpiewać,Sing a song.,Śpiewaj piosenkę.
757,1,Tom I,Rozdział VIII,Czasowniki,Czasowniki 6,Smoke,Palić papierosy; dymić,Don't smoke here.,Nie pal tutaj.
758,1,Tom I,Rozdział VIII,Czasowniki,Czasowniki 6,Travel,Podróżować,I love to travel.,Uwielbiam podróżować.
759,1,Tom I,Rozdział VIII,Rzeczowniki,Dom,Alarm clock,Budzik,My alarm clock didn't go off.,Mój budzik nie zadzwonił.
760,1,Tom I,Rozdział VIII,Rzeczowniki,Dom,Garage,Garaż,Park the car in the garage.,Zaparkuj samochód w garażu.
761,1,Tom I,Rozdział VIII,Rzeczowniki,Dom,Bathroom,Łazienka,The bathroom is upstairs.,Łazienka jest na górze.
762,1,Tom I,Rozdział VIII,Rzeczowniki,Dom,Furniture,Meble,We need new furniture.,Potrzebujemy nowych mebli.
763,1,Tom I,Rozdział VIII,Rzeczowniki,Dom,Umbrella,Parasol,"Take an umbrella, it's raining.","Weź parasol, pada deszcz."
764,1,Tom I,Rozdział VIII,Rzeczowniki,Dom,Pillow,Poduszka,This pillow is too flat.,Ta poduszka jest za płaska.
765,1,Tom I,Rozdział VIII,Rzeczowniki,Dom,Washing machine,Pralka,The washing machine is broken.,Pralka jest zepsuta.
766,1,Tom I,Rozdział VIII,Rzeczowniki,Dom,Living room,Salon,Let's watch TV in the living room.,Oglądajmy telewizję w salonie.
767,1,Tom I,Rozdział VIII,Rzeczowniki,Dom,Neighbor,Sąsiad,My neighbor is very friendly.,Mój sąsiad jest bardzo przyjazny.
768,1,Tom I,Rozdział VIII,Rzeczowniki,Dom,Bedroom,Sypialnia,"Clean your bedroom, please.","Posprzątaj swoją sypialnię, proszę."
769,1,Tom I,Rozdział VIII,Rzeczowniki,Jedzenie,Cookie,Ciastko,Can I have a cookie?,Mogę dostać ciastko?
770,1,Tom I,Rozdział VIII,Rzeczowniki,Jedzenie,Dessert,Deser,What's for dessert?,Co na deser?
771,1,Tom I,Rozdział VIII,Rzeczowniki,Jedzenie,Fries,Frytki,I ordered fries with that.,Zamówiłem do tego frytki.
772,1,Tom I,Rozdział VIII,Rzeczowniki,Jedzenie,Hamburger,Hamburger,This hamburger is huge.,Ten hamburger jest ogromny.
773,1,Tom I,Rozdział VIII,Rzeczowniki,Jedzenie,Yogurt,Jogurt,I eat yogurt every morning.,Jem jogurt każdego ranka.
774,1,Tom I,Rozdział VIII,Rzeczowniki,Jedzenie,Sandwich,Kanapka,I made a sandwich for lunch.,Zrobiłem kanapkę na lunch.
775,1,Tom I,Rozdział VIII,Rzeczowniki,Jedzenie,Meal,Posiłek,That was a delicious meal.,To był pyszny posiłek.
776,1,Tom I,Rozdział VIII,Rzeczowniki,Jedzenie,Snack,Przekąska,Grab a snack if you're hungry.,"Weź przekąskę, jeśli jesteś głodny."
777,1,Tom I,Rozdział VIII,Rzeczowniki,Jedzenie,Salt,Sól,This soup needs salt.,Ta zupa potrzebuje soli.
778,1,Tom I,Rozdział VIII,Rzeczowniki,Jedzenie,Ham,Szynka,I'll have a ham sandwich.,Poproszę kanapkę z szynką.
779,1,Tom I,Rozdział VIII,Zaimki,Komu? Czemu?,Me,Mnie,Call me.,Zadzwoń do mnie.
780,1,Tom I,Rozdział VIII,Zaimki,Komu? Czemu?,You,Wam,You are here.,Ty jesteś tutaj.
781,1,Tom I,Rozdział VIII,Zaimki,Komu? Czemu?,You,Tobie,You are here.,Ty jesteś tutaj.
782,1,Tom I,Rozdział VIII,Zaimki,Komu? Czemu?,Us,Nam,Come with us.,Chodź z nami.
783,1,Tom I,Rozdział VIII,Zaimki,Komu? Czemu?,Him,Jemu,I know him.,Znam go.
784,1,Tom I,Rozdział VIII,Zaimki,Komu? Czemu?,Her,Jej (komu? Czemu?),Her name is Mary.,Jej imię to Maria.
785,1,Tom I,Rozdział VIII,Zaimki,Komu? Czemu?,It,Temu (czemuś),It is here.,To jest tutaj.
786,1,Tom I,Rozdział VIII,Zaimki,Komu? Czemu?,Them,Im,I know them.,Znam ich.
787,1,Tom I,Rozdział VIII,Zaimki,Komu? Czemu?,Me,Mnie,Call me.,Zadzwoń do mnie.
788,1,Tom I,Rozdział VIII,Zaimki,Komu? Czemu?,You,Wam,You are here.,Ty jesteś tutaj.
789,1,Tom I,Rozdział VIII,Przymiotniki,Przymiotniki 4,Sick,Chory; odczuwający nudności,I feel sick.,Czuję się źle.
790,1,Tom I,Rozdział VIII,Przymiotniki,Przymiotniki 4,Healthy,Zdrowy,Try to eat healthy food.,Staraj się jeść zdrowe jedzenie.
791,1,Tom I,Rozdział VIII,Przymiotniki,Przymiotniki 4,Lucky,Przynoszący szczęście; szczęśliwy,You're so lucky!,Masz takie szczęście!
792,1,Tom I,Rozdział VIII,Przymiotniki,Przymiotniki 4,Smart,Bystry,That was a smart decision.,To była mądra decyzja.
793,1,Tom I,Rozdział VIII,Przymiotniki,Przymiotniki 4,Strong,Silny; mocny,I feel strong.,Czuję się silny.
794,1,Tom I,Rozdział VIII,Przymiotniki,Przymiotniki 4,Fair,Sprawiedliwy; uczciwy,That's not fair.,To nie fair.
795,1,Tom I,Rozdział VIII,Przymiotniki,Przymiotniki 4,Dirty,Brudny,Your shoes are dirty.,Twoje buty są brudne.
796,1,Tom I,Rozdział VIII,Przymiotniki,Przymiotniki 4,Clean,Czysty,Clean the house.,Posprzątaj dom.
797,1,Tom I,Rozdział VIII,Przymiotniki,Przymiotniki 4,Fat,Gruby (człowiek lub zwierzę),The cat got really fat.,Kot naprawdę utył.
798,1,Tom I,Rozdział VIII,Przymiotniki,Przymiotniki 4,Sexy,Seksowny,She looked absolutely sexy.,Wyglądała absolutnie seksownie.
799,1,Tom I,Rozdział VIII,Rzeczowniki,Miasto,Pharmacy,Apteka,The pharmacy closes at eight.,Apteka zamyka się o ósmej.
800,1,Tom I,Rozdział VIII,Rzeczowniki,Miasto,Swimming pool,Basen,Let's go to the swimming pool.,Chodźmy na basen.
801,1,Tom I,Rozdział VIII,Rzeczowniki,Miasto,Library,Biblioteka,I borrowed a book from the library.,Wypożyczyłem książkę z biblioteki.
802,1,Tom I,Rozdział VIII,Rzeczowniki,Miasto,Disco,Dyskoteka,We danced all night at the disco.,Tańczyliśmy całą noc na dyskotece.
803,1,Tom I,Rozdział VIII,Rzeczowniki,Miasto,Church,Kościół,The church bells are ringing.,Dzwony kościelne dzwonią.
804,1,Tom I,Rozdział VIII,Rzeczowniki,Miasto,Museum,Muzeum,The museum is free on Sundays.,Muzeum jest darmowe w niedziele.
805,1,Tom I,Rozdział VIII,Rzeczowniki,Miasto,Bus stop,Przystanek,Wait for me at the bus stop.,Czekaj na mnie na przystanku.
806,1,Tom I,Rozdział VIII,Rzeczowniki,Miasto,Supermarket,Supermarket,I need to go to the supermarket.,Muszę iść do supermarketu.
807,1,Tom I,Rozdział VIII,Rzeczowniki,Miasto,Shopping,Zakupy,Let's go shopping this weekend.,Chodźmy na zakupy w ten weekend.
808,1,Tom I,Rozdział VIII,Rzeczowniki,Miasto,Zoo,Zoo,The kids loved the zoo.,Dzieciom bardzo podobało się zoo.
809,1,Tom I,Rozdział VIII,Przysłówki,Przysłówki 1,A little,Trochę,I speak a little English.,Mówię trochę po angielsku.
810,1,Tom I,Rozdział VIII,Przysłówki,Przysłówki 1,Alright,W porządku; dobrze; zgoda,Everything will be alright.,Wszystko będzie w porządku.
811,1,Tom I,Rozdział VIII,Przysłówki,Przysłówki 1,Close to,Blisko,We live close to the park.,Mieszkamy blisko parku.
812,1,Tom I,Rozdział VIII,Przysłówki,Przysłówki 1,Fine,W porządku; dobrze; niech będzie,"I'm fine, thanks.","W porządku, dzięki."
813,1,Tom I,Rozdział VIII,Przysłówki,Przysłówki 1,Great,Świetnie,That sounds great!,To brzmi świetnie!
814,1,Tom I,Rozdział VIII,Przysłówki,Przysłówki 1,Maybe,Może,Maybe we should wait.,Może powinniśmy poczekać.
815,1,Tom I,Rozdział VIII,Przysłówki,Przysłówki 1,Ok,Ok,"Ok, let's do it.","Ok, zróbmy to."
816,1,Tom I,Rozdział VIII,Przysłówki,Przysłówki 1,Really,Naprawdę,Do you really mean that?,Naprawdę tak myślisz?
817,1,Tom I,Rozdział VIII,Przysłówki,Przysłówki 1,So-so,Tak sobie,How was the movie? So-so.,Jaki był film? Tak sobie.
818,1,Tom I,Rozdział VIII,Przysłówki,Przysłówki 1,Together,Razem; wspólnie,We grew up together.,Dorastaliśmy razem.
819,1,Tom I,Rozdział IX,Phrasale,Ciągle w ruchu,Carry on,Kontynuować robienie czegoś,Carry on without me.,Kontynuuj beze mnie.
820,1,Tom I,Rozdział IX,Phrasale,Ciągle w ruchu,Come on,"Chodź szybko! (dawaj, dawaj!)","Come on, we're late!","Chodź szybko, spóźniamy się!"
821,1,Tom I,Rozdział IX,Phrasale,Ciągle w ruchu,Be back,Być z powrotem,I'll be back in five minutes.,Będę z powrotem za pięć minut.
822,1,Tom I,Rozdział IX,Phrasale,Ciągle w ruchu,Come back,Wrócić (przyjść z powrotem),Please come back soon.,"Proszę, wróć szybko."
823,1,Tom I,Rozdział IX,Phrasale,Ciągle w ruchu,Come in,Wejść (mniej formalnie),"Come in, the door's open.","Wejdź, drzwi są otwarte."
824,1,Tom I,Rozdział IX,Phrasale,Ciągle w ruchu,Get to,Dotrzeć dokądś,How do I get to the station?,Jak dotrę na stację?
825,1,Tom I,Rozdział IX,Phrasale,Ciągle w ruchu,Go back,Wracać,I want to go back home.,Chcę wrócić do domu.
826,1,Tom I,Rozdział IX,Phrasale,Ciągle w ruchu,Get up,Podnieść się; wstawać (z łóżka),"Get up, we're leaving!","Wstawaj, wyjeżdżamy!"
827,1,Tom I,Rozdział IX,Phrasale,Ciągle w ruchu,Sit down,Usiąść,Sit down and relax.,Usiądź i zrelaksuj się.
828,1,Tom I,Rozdział IX,Phrasale,Ciągle w ruchu,Find out,Dowiedzieć się,I need to find out the truth.,Muszę dowiedzieć się prawdy.
829,1,Tom I,Rozdział IX,Skróty,Zostań w świecie skrótów,Brb,Zw (zaraz wracam),"BRB, someone's at the door.","ZW, ktoś jest przy drzwiach."
830,1,Tom I,Rozdział IX,Skróty,Zostań w świecie skrótów,Cya,Nara,"Gotta go, CYA!","Muszę iść, NARA!"
831,1,Tom I,Rozdział IX,Skróty,Zostań w świecie skrótów,Idk,Nwm (nie wiem),"IDK, maybe later.","NWM, może później."
832,1,Tom I,Rozdział IX,Skróty,Zostań w świecie skrótów,Imo,Moim zdaniem (skrót),"IMO, this is the best option.",MOIM ZDANIEM to najlepsza opcja.
833,1,Tom I,Rozdział IX,Skróty,Zostań w świecie skrótów,Bf,Chłopak; partner (skrót),This is my BF.,To mój CHŁOPAK.
834,1,Tom I,Rozdział IX,Skróty,Zostań w świecie skrótów,Lmao,Śmiać się do rozpuku (skrót),"LMAO, that's hilarious!","PADAM ZE ŚMIECHU, to jest zabawne!"
835,1,Tom I,Rozdział IX,Skróty,Zostań w świecie skrótów,Gf,Dziewczyna; partnerka (skrót),Meet my GF.,Poznaj moją DZIEWCZYNĘ.
836,1,Tom I,Rozdział IX,Skróty,Zostań w świecie skrótów,Yolo,Żyje się tylko raz (skrót),"YOLO, let's do it!","ŻYJE SIĘ TYLKO RAZ, zróbmy to!"
837,1,Tom I,Rozdział IX,Skróty,Zostań w świecie skrótów,4u,Dla ciebie,This one's for you.,Ten jest dla ciebie.
838,1,Tom I,Rozdział IX,Skróty,Zostań w świecie skrótów,Pm,Prywatna wiadomość (skrót),Send me a PM.,Wyślij mi PW.
839,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,England,Anglia,I've never been to England.,Nigdy nie byłem w Anglii.
840,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,English,Angielka; anglik,My teacher is English.,Moja nauczycielka jest Angielką.
841,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,United kingdom,Zjednoczone królestwo,The United Kingdom has four nations.,Zjednoczone Królestwo ma cztery narody.
842,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,Great britain,Wielka brytania,Great Britain is an island.,Wielka Brytania jest wyspą.
843,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,British,Brytyjka; brytyjczyk,My colleague is British.,Moja koleżanka jest Brytyjką.
844,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,China,Chiny,China has a huge population.,Chiny mają ogromną populację.
845,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,Chinese,Chinka; chińczyk,My neighbor is Chinese.,Moja sąsiadka jest Chinką.
846,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,France,Francja,We're flying to France in June.,Lecimy do Francji w czerwcu.
847,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,French,Francuzka; francuz,My friend is French.,Moja przyjaciółka jest Francuzką.
848,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,Country,Kraj,Which country are you from?,Z jakiego kraju jesteś?
849,1,Tom I,Rozdział IX,Maleństwa,Kierunek I miejsce,To,"Do (dokądś, np. Do poznania)",I'm going to the store.,Idę do sklepu.
850,1,Tom I,Rozdział IX,Maleństwa,Kierunek I miejsce,On,Na (czymś),The keys are on the table.,Klucze są na stole.
851,1,Tom I,Rozdział IX,Maleństwa,Kierunek I miejsce,To,Na (np. Przystanek),We're heading to the party.,Idziemy na imprezę.
852,1,Tom I,Rozdział IX,Maleństwa,Kierunek I miejsce,Next to,Przy (coś przy czymś),Sit next to me.,Usiądź przy mnie.
853,1,Tom I,Rozdział IX,Maleństwa,Kierunek I miejsce,At,Przy (np. Stole),Meet me at the entrance.,Spotkaj się ze mną przy wejściu.
854,1,Tom I,Rozdział IX,Maleństwa,Kierunek I miejsce,In,W,It's in the drawer.,Jest w szufladzie.
855,1,Tom I,Rozdział IX,Maleństwa,Kierunek I miejsce,Via,Przez (np. Berlin),We flew to Rome via Paris.,Lecieliśmy do Rzymu przez Paryż.
856,1,Tom I,Rozdział IX,Maleństwa,Kierunek I miejsce,Up,W górę; do góry,Go up.,Idź do góry.
857,1,Tom I,Rozdział IX,Maleństwa,Kierunek I miejsce,Off,"Z (z sufitu, mostu, etc.)",Take it off the shelf.,Zdejmij to z półki.
858,1,Tom I,Rozdział IX,Maleństwa,Kierunek I miejsce,Mid,Między; w połowie,We stopped mid-way.,Zatrzymaliśmy się w połowie drogi.
859,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,Poland,Polska,Poland is in central Europe.,Polska leży w środkowej Europie.
860,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,Pole,Polka; polak,She's a proud Pole.,Ona jest dumną Polką.
861,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,India,Indie,Spices from India are amazing.,Przyprawy z Indii są niesamowite.
862,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,Indian,Hinduska; hindus,My colleague is Indian.,Moja koleżanka jest Hinduską.
863,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,German,Niemka; niemiec,His wife is German.,Jego żona jest Niemką.
864,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,Germany,Niemcy,We drove through Germany.,Przejechaliśmy przez Niemcy.
865,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,The united states of america,Stany zjednoczone,The United States has fifty states.,Stany Zjednoczone mają pięćdziesiąt stanów.
866,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,American,Amerykanka; amerykanin,My roommate is American.,Moja współlokatorka jest Amerykanką.
867,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,Nationality,Narodowość,What's your nationality?,Jaka jest twoja narodowość?
868,1,Tom I,Rozdział IX,Rzeczowniki,Kraje,Nation,Naród,The whole nation celebrated.,Cały naród świętował.
869,1,Tom I,Rozdział IX,Rzeczowniki,Transport,Diesel,Olej napędowy,This car runs on diesel.,Ten samochód jeździ na olej napędowy.
870,1,Tom I,Rozdział IX,Rzeczowniki,Transport,Passenger,Pasażer,There's one passenger left.,Zostaje jeden pasażer.
871,1,Tom I,Rozdział IX,Rzeczowniki,Transport,Seat,Siedzenie,Is this seat taken?,Czy to miejsce jest zajęte?
872,1,Tom I,Rozdział IX,Rzeczowniki,Transport,Taxi,Taksówka,Let's just call a taxi.,Po prostu wezwijmy taksówkę.
873,1,Tom I,Rozdział IX,Rzeczowniki,Transport,Cab,Taryfa (taksówka),Grab a cab outside.,Złap taryfę na zewnątrz.
874,1,Tom I,Rozdział IX,Rzeczowniki,Transport,Highway,Autostrada,We took the highway instead.,Pojechaliśmy zamiast tego autostradą.
875,1,Tom I,Rozdział IX,Rzeczowniki,Transport,Petrol,Benzyna,We're low on petrol.,Mamy mało benzyny.
876,1,Tom I,Rozdział IX,Rzeczowniki,Transport,Gas,Gaz,Don't forget to pay the gas bill.,Nie zapomnij zapłacić rachunku za gaz.
